,NITROGEN SHARE IN NPK (Percent),PHOSPHATE SHARE IN NPK (Percent),POTASH SHARE IN NPK (Percent),LENGTH OF GROWING PERIOD DAYS (Number),TOTAL AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),ANNUAL RAINFALL (Millimeters),crop_name,crop_yield
2439,72.57,26.58,0.85,210.0,307.17,324.29,154.32,868.6,WHEAT YIELD (Kg per ha),3302.98
2440,66.8,32.69,0.51,210.0,1168.34,610.94,140.01,738.7,WHEAT YIELD (Kg per ha),2385.64
2441,66.97,32.73,0.3,210.0,1168.34,615.98,141.02,738.7,WHEAT YIELD (Kg per ha),2665.16
2442,68.35,31.13,0.52,210.0,1168.34,612.86,139.61,838.9,WHEAT YIELD (Kg per ha),4061.14
2443,76.29,23.18,0.53,210.0,1168.34,656.99,148.9,1054.5,WHEAT YIELD (Kg per ha),3706.11
2444,73.95,25.46,0.59,210.0,1168.34,657.93,149.79,493.5,WHEAT YIELD (Kg per ha),3285.02
2445,76.65,22.84,0.5,210.0,1168.34,667.13,152.38,567.9,WHEAT YIELD (Kg per ha),4276.24
2446,76.76,22.59,0.65,210.0,1168.34,674.77,153.49,738.7,WHEAT YIELD (Kg per ha),3995.05
2447,72.32,26.69,0.98,210.0,1168.34,685.52,156.84,738.7,WHEAT YIELD (Kg per ha),4113.61
2448,57.53,42.08,0.39,217.0,445.2,376.8,112.03,722.175,WHEAT YIELD (Kg per ha),2060.07
2449,67.53,31.51,0.96,217.0,445.2,373.28,111.41,722.175,WHEAT YIELD (Kg per ha),2101.67
2450,60.18,39.51,0.31,217.0,445.2,381.45,112.01,730.1,WHEAT YIELD (Kg per ha),3776.02
2451,68.93,30.6,0.47,217.0,445.2,382.81,112.15,1103.0,WHEAT YIELD (Kg per ha),3553.75
2452,71.24,28.57,0.2,217.0,445.2,395.01,115.76,510.6,WHEAT YIELD (Kg per ha),3971.22
2453,73.22,26.57,0.22,217.0,445.2,407.83,120.73,545.0,WHEAT YIELD (Kg per ha),3813.43
2454,71.98,27.55,0.46,217.0,445.2,410.99,121.1,722.175,WHEAT YIELD (Kg per ha),4013.79
2455,65.97,33.43,0.6,217.0,445.2,406.24,120.48,722.175,WHEAT YIELD (Kg per ha),4222.01
2456,44.63,43.21,12.17,194.0,383.1,459.57,181.33,1193.9250000000002,WHEAT YIELD (Kg per ha),2514.37
2457,45.24,47.07,7.69,194.0,383.1,455.73,182.63,1193.9250000000002,WHEAT YIELD (Kg per ha),2386.21
2458,48.37,44.08,7.55,194.0,383.1,462.5,184.42,1016.0,WHEAT YIELD (Kg per ha),4921.22
2459,59.05,34.55,6.41,194.0,383.1,466.63,185.65,1619.1,WHEAT YIELD (Kg per ha),2995.43
2460,54.76,38.17,7.08,194.0,383.1,466.72,185.85,811.2,WHEAT YIELD (Kg per ha),4016.39
2461,53.2,38.41,8.38,194.0,383.1,468.13,186.94,1329.4,WHEAT YIELD (Kg per ha),4419.35
2462,57.83,32.48,9.7,194.0,383.1,470.12,184.78,1193.9250000000002,WHEAT YIELD (Kg per ha),4307.69
2463,60.28,31.16,8.56,194.0,383.1,493.22,196.79,1193.9250000000002,WHEAT YIELD (Kg per ha),4213.04
2464,52.8,39.65,7.55,194.0,486.01,509.43,152.37,1055.475,WHEAT YIELD (Kg per ha),4029.11
2465,56.47,38.87,4.66,194.0,486.01,539.31,160.97,1055.475,WHEAT YIELD (Kg per ha),4125.33
2466,60.19,35.21,4.61,194.0,486.01,554.65,164.66,1018.4,WHEAT YIELD (Kg per ha),2959.63
2467,65.7,30.28,4.02,194.0,486.01,577.48,171.1,1353.0,WHEAT YIELD (Kg per ha),2659.25
2468,65.9,28.38,5.72,194.0,486.01,550.87,163.84,614.3,WHEAT YIELD (Kg per ha),2879.12
2469,59.24,33.68,7.09,194.0,486.01,538.18,160.2,1236.2,WHEAT YIELD (Kg per ha),3400.0
2470,62.36,31.09,6.55,194.0,486.01,557.24,165.66,1055.475,WHEAT YIELD (Kg per ha),3385.32
2471,61.75,29.86,8.39,194.0,486.01,581.36,172.15,1055.475,WHEAT YIELD (Kg per ha),3579.98
2472,38.81,53.71,7.48,194.0,609.87,874.05,176.03,1109.4499999999998,WHEAT YIELD (Kg per ha),1760.18
2473,41.75,53.65,4.61,194.0,609.87,886.57,178.33,1109.4499999999998,WHEAT YIELD (Kg per ha),2667.14
2474,49.68,46.96,3.36,194.0,609.87,925.17,185.48,994.8,WHEAT YIELD (Kg per ha),3040.96
2475,56.34,38.95,4.71,194.0,609.87,938.0,187.73,1272.9,WHEAT YIELD (Kg per ha),2864.93
2476,55.83,39.74,4.43,194.0,609.87,882.07,176.07,648.9,WHEAT YIELD (Kg per ha),3084.21
2477,51.6,41.91,6.49,194.0,609.87,905.8,181.23,1521.2,WHEAT YIELD (Kg per ha),3496.03
