,NITROGEN SHARE IN NPK (Percent),PHOSPHATE SHARE IN NPK (Percent),POTASH SHARE IN NPK (Percent),LENGTH OF GROWING PERIOD DAYS (Number),TOTAL AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),ANNUAL RAINFALL (Millimeters),crop_name,crop_yield
0,54.47,31.79,13.75,164.0,1988.17,1405.63,136.65,1149.7,RICE YIELD (Kg per ha),1695.77
1,53.56,33.69,12.75,164.0,1988.17,1409.94,136.83,1282.3,RICE YIELD (Kg per ha),1756.23
2,58.43,31.47,10.11,164.0,1988.17,1415.98,137.6,1092.1,RICE YIELD (Kg per ha),1900.97
3,58.05,30.36,11.59,164.0,1639.34,1431.3,138.89,1568.0,RICE YIELD (Kg per ha),1581.86
4,56.7,33.33,9.97,164.0,1640.28,1438.76,140.21,1379.7,RICE YIELD (Kg per ha),1729.89
5,57.14,32.69,10.17,164.0,1640.28,1438.03,139.61,1008.7,RICE YIELD (Kg per ha),1076.95
6,54.12,35.04,10.85,164.0,1988.17,1467.94,141.39,1246.75,RICE YIELD (Kg per ha),2085.96
7,56.47,33.03,10.49,164.0,1838.94,1429.6542857142856,138.74,1246.75,RICE YIELD (Kg per ha),1168.92
8,52.94,30.45,16.61,194.0,3905.76,869.33,103.88,1623.2,RICE YIELD (Kg per ha),1905.45
9,54.65,34.03,11.32,194.0,3905.76,844.83,103.86,1160.5,RICE YIELD (Kg per ha),1231.23
10,57.88,30.65,11.47,194.0,3905.76,850.17,103.92,1542.6,RICE YIELD (Kg per ha),2103.06
11,58.15,29.72,12.13,194.0,2350.0,853.63,104.04,1434.5,RICE YIELD (Kg per ha),1969.4
12,56.73,31.08,12.2,194.0,2357.91,856.61,104.16,1476.6,RICE YIELD (Kg per ha),2129.33
13,51.49,35.07,13.44,194.0,2357.91,844.52,104.03,1538.5,RICE YIELD (Kg per ha),1030.87
14,54.07,33.01,12.91,194.0,3905.75,849.21,103.91,1462.6499999999999,RICE YIELD (Kg per ha),1973.24
15,55.8,33.0,11.2,194.0,3241.2642857142855,852.6142857142858,103.97142857142858,1462.6499999999999,RICE YIELD (Kg per ha),1214.23
16,58.2,29.21,12.59,201.0,2249.12,1181.8,125.63,1109.1,RICE YIELD (Kg per ha),1661.71
17,60.44,28.08,11.48,201.0,2249.12,1160.96,123.56,1322.9,RICE YIELD (Kg per ha),1483.67
18,64.93,29.39,5.68,201.0,2249.12,1184.23,126.41,1233.0,RICE YIELD (Kg per ha),1987.25
19,62.71,29.44,7.85,201.0,1534.28,1191.32,125.83,1443.6,RICE YIELD (Kg per ha),1733.23
20,62.99,27.35,9.66,201.0,1537.77,1220.67,127.99,1233.2,RICE YIELD (Kg per ha),2055.8
21,65.03,26.57,8.4,201.0,1538.31,1161.84,122.59,921.4,RICE YIELD (Kg per ha),1431.57
22,58.88,32.43,8.69,201.0,2249.12,1176.4,125.03,1210.5333333333335,RICE YIELD (Kg per ha),2410.09
23,59.44,30.83,9.73,201.0,1943.8342857142857,1182.4600000000003,125.29142857142857,1210.5333333333335,RICE YIELD (Kg per ha),1585.96
24,62.13,28.73,9.14,208.0,2147.07,1005.66,124.67,973.9,RICE YIELD (Kg per ha),1889.83
25,67.09,25.31,7.6,208.0,2147.07,1031.79,128.25,1290.1,RICE YIELD (Kg per ha),2079.01
26,68.78,26.12,5.1,208.0,2147.07,1028.36,128.15,1350.1,RICE YIELD (Kg per ha),2337.61
27,70.4,24.37,5.24,208.0,1518.67,1006.84,125.37,1449.5,RICE YIELD (Kg per ha),2171.95
28,68.95,25.54,5.51,208.0,1518.67,1005.75,125.08,1348.2,RICE YIELD (Kg per ha),2310.43
29,65.29,27.88,6.84,208.0,1518.67,1008.59,125.84,1056.8,RICE YIELD (Kg per ha),1831.92
30,64.18,29.12,6.69,208.0,2147.07,972.84,122.9,1244.7666666666667,RICE YIELD (Kg per ha),2554.21
31,66.57,27.12,6.31,208.0,1877.7557142857145,1008.5471428571428,125.75142857142859,1244.7666666666667,RICE YIELD (Kg per ha),1779.97
32,56.79,32.36,10.85,201.0,1298.51,561.76,108.81,988.3,RICE YIELD (Kg per ha),1375.15
33,64.95,30.21,4.84,201.0,1298.51,559.25,108.7,1288.5,RICE YIELD (Kg per ha),1430.41
34,66.99,28.42,4.59,201.0,1298.51,558.0,108.54,1237.3,RICE YIELD (Kg per ha),1517.28
35,65.37,28.69,5.94,201.0,977.16,556.01,108.75,1221.3,RICE YIELD (Kg per ha),1387.92
36,63.92,26.47,9.61,201.0,977.16,543.49,109.35,1227.8,RICE YIELD (Kg per ha),1608.68
37,63.22,29.33,7.46,201.0,977.16,544.29,109.05,1192.1,RICE YIELD (Kg per ha),1013.29
38,53.27,35.4,11.33,201.0,1298.52,557.24,108.87,1192.55,RICE YIELD (Kg per ha),1800.23
39,64.35,28.02,7.63,201.0,1160.7900000000002,554.2914285714286,108.86714285714285,1192.55,RICE YIELD (Kg per ha),1516.07
40,52.98,36.49,10.53,201.0,2201.21,647.31,114.08,596.7,RICE YIELD (Kg per ha),1075.9
41,51.32,39.27,9.41,201.0,2201.21,656.92,114.36,1383.6,RICE YIELD (Kg per ha),1405.53
42,62.71,32.25,5.04,201.0,2201.21,654.16,114.57,1122.5,RICE YIELD (Kg per ha),1632.47
43,64.36,27.82,7.82,201.0,1279.33,658.63,114.82,809.0,RICE YIELD (Kg per ha),1704.2
44,56.15,30.29,13.57,201.0,1280.85,662.45,114.74,840.0,RICE YIELD (Kg per ha),1801.22
45,58.69,31.83,9.48,201.0,1280.85,643.07,114.67,989.8,RICE YIELD (Kg per ha),1193.82
46,58.09,32.75,9.16,201.0,2201.21,649.79,115.11,956.9333333333334,RICE YIELD (Kg per ha),1732.96
47,56.44,31.71,11.85,201.0,1806.552857142857,653.1899999999999,114.62142857142855,956.9333333333334,RICE YIELD (Kg per ha),1389.84
48,58.39,35.9,5.71,254.0,1012.85,642.44,136.45,1351.5249999999999,RICE YIELD (Kg per ha),1025.81
49,60.08,36.67,3.25,254.0,1012.85,669.33,141.11,1351.5249999999999,RICE YIELD (Kg per ha),1297.59
50,62.76,33.48,3.76,254.0,1012.85,687.76,141.06,1283.7,RICE YIELD (Kg per ha),1608.25
51,71.22,28.3,0.48,254.0,1012.85,732.47,147.83,2109.7,RICE YIELD (Kg per ha),1931.0
52,68.7,29.84,1.45,254.0,1012.85,734.69,150.47,968.8,RICE YIELD (Kg per ha),1273.74
53,70.2,28.26,1.54,254.0,1012.85,724.69,150.87,1043.9,RICE YIELD (Kg per ha),1120.3
54,70.44,27.75,1.8,254.0,1012.85,761.43,155.95,1351.5249999999999,RICE YIELD (Kg per ha),2900.71
55,65.4,32.37,2.22,254.0,1012.85,802.82,164.18,1351.5249999999999,RICE YIELD (Kg per ha),2503.19
56,56.79,37.02,6.19,201.0,924.5,335.51,124.36,1170.7749999999999,RICE YIELD (Kg per ha),1423.96
57,57.86,39.38,2.76,201.0,924.5,343.82,124.87,1170.7749999999999,RICE YIELD (Kg per ha),1362.79
58,64.82,33.26,1.92,201.0,924.5,351.51,124.4,1173.6,RICE YIELD (Kg per ha),1865.48
59,54.05,42.82,3.14,201.0,924.5,346.75,124.27,1428.8,RICE YIELD (Kg per ha),1678.25
60,59.34,38.4,2.26,201.0,924.5,346.26,125.13,1076.0,RICE YIELD (Kg per ha),1834.0
61,58.57,38.67,2.75,201.0,924.5,342.65,130.96,1004.7,RICE YIELD (Kg per ha),1674.17
62,61.02,37.53,1.45,201.0,924.5,344.65,123.67,1170.7749999999999,RICE YIELD (Kg per ha),2482.83
63,61.9,36.15,1.94,201.0,924.5,334.84,120.79,1170.7749999999999,RICE YIELD (Kg per ha),1795.92
64,62.57,26.44,10.99,231.0,1184.92,655.69,133.93,1106.75,RICE YIELD (Kg per ha),1650.27
65,64.4,26.72,8.88,231.0,1184.92,675.92,135.28,1106.75,RICE YIELD (Kg per ha),2128.71
66,66.86,27.05,6.09,231.0,1184.92,706.25,137.96,1078.7,RICE YIELD (Kg per ha),2752.51
67,72.75,23.46,3.79,231.0,1184.92,720.37,140.83,1408.0,RICE YIELD (Kg per ha),2031.14
68,66.59,27.16,6.25,231.0,1184.92,725.17,142.16,807.0,RICE YIELD (Kg per ha),2400.0
69,68.37,25.96,5.67,231.0,1184.92,726.9,142.77,1133.3,RICE YIELD (Kg per ha),1741.94
70,71.2,22.3,6.5,231.0,1184.92,714.83,140.59,1106.75,RICE YIELD (Kg per ha),1523.71
71,68.36,23.9,7.75,231.0,1184.92,733.79,145.45,1106.75,RICE YIELD (Kg per ha),1236.7
72,53.57,37.98,8.45,245.0,513.65,419.51,136.37,1195.45,RICE YIELD (Kg per ha),1560.0
73,60.27,34.64,5.09,245.0,513.65,424.51,137.48,1195.45,RICE YIELD (Kg per ha),1791.67
74,59.95,37.45,2.6,245.0,513.65,442.86,142.68,1039.5,RICE YIELD (Kg per ha),1333.08
75,64.18,32.17,3.65,245.0,513.65,471.78,152.53,1821.0,RICE YIELD (Kg per ha),1361.11
76,67.51,28.71,3.77,245.0,513.65,467.49,150.66,915.2,RICE YIELD (Kg per ha),1407.22
77,68.1,27.56,4.34,245.0,513.65,496.83,160.36,1006.1,RICE YIELD (Kg per ha),2627.35
78,62.68,30.79,6.53,245.0,513.65,484.04,155.92,1195.45,RICE YIELD (Kg per ha),2812.0
79,63.44,30.59,5.97,245.0,513.65,480.99,155.6,1195.45,RICE YIELD (Kg per ha),4636.83
80,58.04,36.74,5.22,240.0,875.4,535.89,139.38,1186.8,RICE YIELD (Kg per ha),1323.3
81,62.07,34.19,3.74,240.0,875.4,538.44,135.34,1186.8,RICE YIELD (Kg per ha),1455.45
82,62.49,33.82,3.68,240.0,875.4,561.34,140.11,1118.5,RICE YIELD (Kg per ha),2057.93
83,70.72,28.24,1.04,240.0,875.4,578.04,145.65,1734.7,RICE YIELD (Kg per ha),2935.24
84,68.92,29.59,1.49,240.0,875.4,577.89,144.92,880.3,RICE YIELD (Kg per ha),1434.03
85,70.03,28.48,1.49,240.0,875.4,563.18,144.23,1013.7,RICE YIELD (Kg per ha),1412.25
86,74.76,22.94,2.3,240.0,875.4,571.08,144.98,1186.8,RICE YIELD (Kg per ha),2472.53
87,76.28,20.84,2.88,240.0,875.4,594.53,153.7,1186.8,RICE YIELD (Kg per ha),2403.52
88,73.66,24.61,1.73,194.0,1324.5,606.12,139.33,1410.225,RICE YIELD (Kg per ha),824.18
89,69.69,28.83,1.48,194.0,1324.5,615.02,141.94,1410.225,RICE YIELD (Kg per ha),1015.6
90,74.88,23.89,1.23,194.0,1324.5,610.11,141.74,1387.9,RICE YIELD (Kg per ha),1010.69
91,73.27,25.83,0.9,194.0,1324.5,614.56,142.82,1828.1,RICE YIELD (Kg per ha),1138.56
92,66.87,32.15,0.99,194.0,1324.5,617.03,145.06,1229.1,RICE YIELD (Kg per ha),1311.0
93,73.99,25.16,0.85,194.0,1324.5,601.93,142.57,1195.8,RICE YIELD (Kg per ha),1699.21
94,71.0,27.97,1.03,194.0,1324.49,606.03,144.02,1410.225,RICE YIELD (Kg per ha),1941.23
95,72.23,26.89,0.88,194.0,1324.49,594.81,146.49,1410.225,RICE YIELD (Kg per ha),3205.25
96,42.52,51.98,5.5,194.0,1022.76,829.65,151.69,1119.5,RICE YIELD (Kg per ha),750.0
97,46.29,50.42,3.29,194.0,1022.76,876.58,160.09,1119.5,RICE YIELD (Kg per ha),794.12
98,44.51,54.06,1.43,194.0,1022.76,860.75,156.99,912.3,RICE YIELD (Kg per ha),633.08
99,51.89,47.53,0.58,194.0,1022.76,887.29,161.7,1934.5,RICE YIELD (Kg per ha),437.24
100,55.23,43.78,0.99,194.0,1022.76,884.57,161.37,865.5,RICE YIELD (Kg per ha),1066.0
101,51.14,46.55,2.32,194.0,1022.76,924.84,168.95,765.7,RICE YIELD (Kg per ha),285.71
102,53.34,44.78,1.89,194.0,1022.76,923.55,169.4,1119.5,RICE YIELD (Kg per ha),1000.0
103,53.1,45.58,1.32,194.0,1022.76,960.09,173.8,1119.5,RICE YIELD (Kg per ha),1124.51
104,50.41,46.53,3.06,201.0,728.58,449.92,142.26,1171.8,RICE YIELD (Kg per ha),1033.86
105,53.62,44.49,1.9,201.0,728.58,450.13,142.41,1171.8,RICE YIELD (Kg per ha),1066.31
106,49.86,49.37,0.77,201.0,728.58,466.81,147.7,1097.6,RICE YIELD (Kg per ha),993.43
107,56.73,43.05,0.21,201.0,728.58,519.14,163.27,1793.8,RICE YIELD (Kg per ha),1120.08
108,63.88,35.54,0.58,201.0,728.58,520.29,163.94,824.4,RICE YIELD (Kg per ha),1070.76
109,60.79,38.73,0.47,201.0,728.58,540.37,169.46,971.4,RICE YIELD (Kg per ha),1132.47
110,55.14,44.45,0.41,201.0,728.58,585.08,183.35,1171.8,RICE YIELD (Kg per ha),1875.0
111,52.43,47.0,0.57,201.0,728.58,560.64,175.55,1171.8,RICE YIELD (Kg per ha),1666.71
112,52.44,46.1,1.46,178.0,504.0,379.2,152.21,921.5,RICE YIELD (Kg per ha),450.0
113,64.79,34.76,0.45,178.0,504.0,434.61,161.07,921.5,RICE YIELD (Kg per ha),726.5
114,49.52,50.42,0.07,178.0,504.0,455.19,165.52,817.8,RICE YIELD (Kg per ha),475.79
115,55.54,44.38,0.07,178.0,504.0,467.41,167.9,1314.8,RICE YIELD (Kg per ha),351.45
116,65.17,33.68,1.15,178.0,504.0,462.95,167.44,868.4,RICE YIELD (Kg per ha),410.0
117,66.16,33.78,0.06,178.0,504.0,360.81,141.58,685.0,RICE YIELD (Kg per ha),111.67
118,68.97,29.62,1.4,178.0,504.0,481.03,173.96,921.5,RICE YIELD (Kg per ha),1000.0
119,67.85,31.36,0.8,178.0,504.0,379.46,147.13,921.5,RICE YIELD (Kg per ha),359.65
120,48.26,49.84,1.91,194.0,863.04,559.51,135.96,970.825,RICE YIELD (Kg per ha),617.98
121,58.04,41.39,0.57,194.0,863.04,592.91,138.33,970.825,RICE YIELD (Kg per ha),868.13
122,56.75,42.96,0.29,194.0,863.04,632.08,138.71,835.6,RICE YIELD (Kg per ha),374.78
123,58.22,41.67,0.11,194.0,863.04,661.12,141.68,1502.4,RICE YIELD (Kg per ha),884.54
124,58.21,41.32,0.47,194.0,863.04,650.34,143.32,746.2,RICE YIELD (Kg per ha),867.0
125,62.3,37.36,0.34,194.0,863.04,544.71,143.08,799.1,RICE YIELD (Kg per ha),333.75
126,60.93,38.6,0.47,194.0,863.04,633.12,155.72,970.825,RICE YIELD (Kg per ha),1082.5
127,56.31,43.14,0.54,194.0,863.04,634.02,158.59,970.825,RICE YIELD (Kg per ha),470.77
128,46.6,51.76,1.64,280.0,702.92,350.81,132.32,1050.7250000000001,RICE YIELD (Kg per ha),960.89
129,54.89,44.36,0.75,280.0,702.92,398.85,143.13,1050.7250000000001,RICE YIELD (Kg per ha),995.11
130,53.34,46.45,0.22,280.0,702.92,397.18,155.55,1094.7,RICE YIELD (Kg per ha),1019.96
131,57.22,42.49,0.29,280.0,702.92,417.54,153.53,1621.9,RICE YIELD (Kg per ha),1134.66
132,60.92,38.59,0.49,280.0,702.92,401.68,150.13,709.0,RICE YIELD (Kg per ha),1369.11
133,57.86,42.05,0.09,280.0,702.92,375.33,147.34,777.3,RICE YIELD (Kg per ha),315.09
134,59.08,40.56,0.36,280.0,702.92,373.27,150.31,1050.7250000000001,RICE YIELD (Kg per ha),2598.99
135,59.26,40.25,0.48,280.0,702.92,412.21,177.71,1050.7250000000001,RICE YIELD (Kg per ha),2400.68
136,55.17,42.19,2.64,178.0,628.75,495.86,138.38,1116.1,RICE YIELD (Kg per ha),661.12
137,58.25,40.68,1.07,178.0,628.75,504.7,140.17,1116.1,RICE YIELD (Kg per ha),1177.74
138,62.68,36.92,0.4,178.0,628.75,506.42,140.02,1224.2,RICE YIELD (Kg per ha),1616.47
139,67.69,32.07,0.24,178.0,628.75,517.27,142.48,1479.2,RICE YIELD (Kg per ha),1789.92
140,62.81,35.63,1.55,178.0,628.75,516.31,142.43,957.9,RICE YIELD (Kg per ha),1808.82
141,66.49,33.25,0.26,178.0,628.75,515.86,144.6,803.1,RICE YIELD (Kg per ha),947.69
142,70.5,29.03,0.47,178.0,628.74,518.57,144.67,1116.1,RICE YIELD (Kg per ha),2793.65
143,68.44,31.04,0.52,178.0,628.74,516.28,144.22,1116.1,RICE YIELD (Kg per ha),5159.93
144,56.04,41.29,2.67,200.0,1039.41,457.22,135.42,1215.85,RICE YIELD (Kg per ha),890.73
145,62.63,36.7,0.67,200.0,1039.41,461.24,136.04,1215.85,RICE YIELD (Kg per ha),962.41
146,62.39,37.28,0.32,200.0,1039.62,459.17,136.52,1487.4,RICE YIELD (Kg per ha),2058.23
147,68.84,30.73,0.42,200.0,1039.64,461.4,137.11,1327.3,RICE YIELD (Kg per ha),1485.59
148,64.14,35.33,0.52,200.0,1039.64,457.56,137.39,1242.7,RICE YIELD (Kg per ha),1260.0
149,64.51,35.32,0.17,200.0,1039.64,455.48,136.45,806.0,RICE YIELD (Kg per ha),1163.81
150,69.7,30.06,0.24,200.0,1039.64,458.58,136.95,1215.85,RICE YIELD (Kg per ha),2949.15
151,69.41,30.35,0.25,200.0,1039.64,462.16,138.35,1215.85,RICE YIELD (Kg per ha),2049.14
152,54.61,41.55,3.83,194.0,742.43,485.98,140.28,1050.275,RICE YIELD (Kg per ha),1036.26
153,58.75,40.03,1.22,194.0,742.43,492.29,141.14,1050.275,RICE YIELD (Kg per ha),1649.27
154,57.26,42.02,0.72,194.0,742.43,493.55,141.75,959.6,RICE YIELD (Kg per ha),2315.18
155,68.58,31.1,0.32,194.0,742.43,515.19,146.04,1351.2,RICE YIELD (Kg per ha),2297.55
156,65.04,33.47,1.49,194.0,742.43,509.57,145.11,808.9,RICE YIELD (Kg per ha),1935.87
157,64.89,34.54,0.58,194.0,742.43,534.97,152.16,1081.4,RICE YIELD (Kg per ha),2288.46
158,65.53,34.03,0.44,194.0,742.43,526.47,149.67,1050.275,RICE YIELD (Kg per ha),3277.75
159,65.31,33.89,0.79,194.0,742.43,611.04,174.8,1050.275,RICE YIELD (Kg per ha),2460.61
160,54.11,43.62,2.27,201.0,1386.01,538.14,125.31,954.0,RICE YIELD (Kg per ha),959.85
161,57.85,41.78,0.37,201.0,1386.01,542.87,125.55,954.0,RICE YIELD (Kg per ha),1367.75
162,61.06,37.6,1.34,201.0,1386.01,565.75,125.39,982.9,RICE YIELD (Kg per ha),1489.54
163,59.14,39.97,0.89,201.0,1386.01,622.77,134.8,1055.3,RICE YIELD (Kg per ha),1885.37
164,58.91,40.28,0.81,201.0,1386.01,564.24,127.07,990.1,RICE YIELD (Kg per ha),1898.4
165,62.12,37.15,0.74,201.0,1386.01,515.91,124.29,787.7,RICE YIELD (Kg per ha),1650.66
166,62.63,36.71,0.66,201.0,1386.01,543.15,126.33,954.0,RICE YIELD (Kg per ha),2113.48
167,62.14,36.92,0.94,201.0,1386.01,544.9,126.92,954.0,RICE YIELD (Kg per ha),1622.35
168,61.33,37.77,0.9,217.0,456.45,259.6,126.15,862.95,RICE YIELD (Kg per ha),2612.24
169,67.07,31.95,0.98,217.0,456.45,265.31,127.95,862.95,RICE YIELD (Kg per ha),3204.61
170,66.0,33.14,0.86,217.0,456.45,293.65,139.94,850.7,RICE YIELD (Kg per ha),1819.16
171,73.65,25.73,0.62,217.0,456.45,293.8,139.0,1027.4,RICE YIELD (Kg per ha),2348.98
172,73.92,25.56,0.52,217.0,456.45,283.43,133.5,712.4,RICE YIELD (Kg per ha),2272.04
173,76.13,22.97,0.9,217.0,456.45,279.55,134.65,861.3,RICE YIELD (Kg per ha),2830.19
174,72.28,26.58,1.14,217.0,456.45,276.34,134.17,862.95,RICE YIELD (Kg per ha),1643.62
175,67.41,31.42,1.16,217.0,456.45,259.14,133.72,862.95,RICE YIELD (Kg per ha),2885.84
176,51.38,45.93,2.69,210.0,995.39,593.82,140.83,967.0,RICE YIELD (Kg per ha),1590.36
177,53.28,45.62,1.1,210.0,995.39,679.09,152.45,967.0,RICE YIELD (Kg per ha),1577.78
178,53.66,45.59,0.75,210.0,984.09,691.68,153.4,949.7,RICE YIELD (Kg per ha),1483.58
179,58.19,39.96,1.85,210.0,984.09,713.79,155.84,1331.7,RICE YIELD (Kg per ha),1166.1
180,58.7,40.7,0.6,210.0,984.09,712.69,155.95,817.2,RICE YIELD (Kg per ha),1237.86
181,57.71,41.16,1.13,210.0,984.09,665.34,148.96,769.4,RICE YIELD (Kg per ha),2484.55
182,63.41,34.69,1.9,210.0,984.09,691.03,153.96,967.0,RICE YIELD (Kg per ha),2809.29
183,59.28,39.6,1.12,210.0,984.09,775.37,167.67,967.0,RICE YIELD (Kg per ha),2454.55
184,51.84,47.26,0.9,224.0,1098.16,905.31,140.95,1141.775,RICE YIELD (Kg per ha),1000.0
185,55.36,43.62,1.03,224.0,1098.16,952.67,148.09,1141.775,RICE YIELD (Kg per ha),1142.86
186,51.24,48.5,0.26,224.0,1098.16,986.79,152.36,759.5,RICE YIELD (Kg per ha),2417.11
187,56.27,43.09,0.64,224.0,1098.16,1020.92,157.03,1678.5,RICE YIELD (Kg per ha),1651.04
188,59.64,40.03,0.33,224.0,1098.16,1030.46,158.45,927.4,RICE YIELD (Kg per ha),2220.0
189,59.49,39.56,0.95,224.0,1098.16,1045.51,161.72,1201.7,RICE YIELD (Kg per ha),1500.0
190,61.55,37.8,0.65,224.0,1098.16,1092.36,168.77,1141.775,RICE YIELD (Kg per ha),0.0
191,56.42,42.98,0.6,224.0,1098.16,1209.78,186.61,1141.775,RICE YIELD (Kg per ha),1595.45
192,60.08,39.07,0.85,210.0,295.87,270.59,132.68,868.6,RICE YIELD (Kg per ha),1245.61
193,64.61,34.46,0.93,210.0,295.87,262.32,125.29,868.6,RICE YIELD (Kg per ha),1240.0
194,65.76,32.25,1.99,210.0,307.17,264.12,124.32,904.5,RICE YIELD (Kg per ha),2045.79
195,78.38,20.69,0.92,210.0,307.17,268.51,126.92,1166.0,RICE YIELD (Kg per ha),1144.98
196,75.93,24.0,0.08,210.0,307.17,271.5,131.33,724.3,RICE YIELD (Kg per ha),977.67
197,89.91,9.8,0.29,210.0,307.17,281.22,135.35,679.6,RICE YIELD (Kg per ha),1714.29
198,79.55,19.62,0.82,210.0,307.17,289.97,139.24,868.6,RICE YIELD (Kg per ha),2156.47
199,72.57,26.58,0.85,210.0,307.17,324.29,154.32,868.6,RICE YIELD (Kg per ha),1818.07
200,66.8,32.69,0.51,210.0,1168.34,610.94,140.01,738.7,RICE YIELD (Kg per ha),2969.07
201,66.97,32.73,0.3,210.0,1168.34,615.98,141.02,738.7,RICE YIELD (Kg per ha),2973.51
202,68.35,31.13,0.52,210.0,1168.34,612.86,139.61,838.9,RICE YIELD (Kg per ha),3695.84
203,76.29,23.18,0.53,210.0,1168.34,656.99,148.9,1054.5,RICE YIELD (Kg per ha),3639.98
204,73.95,25.46,0.59,210.0,1168.34,657.93,149.79,493.5,RICE YIELD (Kg per ha),2300.0
205,76.65,22.84,0.5,210.0,1168.34,667.13,152.38,567.9,RICE YIELD (Kg per ha),3500.0
206,76.76,22.59,0.65,210.0,1168.34,674.77,153.49,738.7,RICE YIELD (Kg per ha),2455.79
207,72.32,26.69,0.98,210.0,1168.34,685.52,156.84,738.7,RICE YIELD (Kg per ha),2808.41
208,57.53,42.08,0.39,217.0,445.2,376.8,112.03,722.175,RICE YIELD (Kg per ha),2732.14
209,67.53,31.51,0.96,217.0,445.2,373.28,111.41,722.175,RICE YIELD (Kg per ha),3250.0
210,60.18,39.51,0.31,217.0,445.2,381.45,112.01,730.1,RICE YIELD (Kg per ha),2699.13
211,68.93,30.6,0.47,217.0,445.2,382.81,112.15,1103.0,RICE YIELD (Kg per ha),4335.42
212,71.24,28.57,0.2,217.0,445.2,395.01,115.76,510.6,RICE YIELD (Kg per ha),3445.0
213,73.22,26.57,0.22,217.0,445.2,407.83,120.73,545.0,RICE YIELD (Kg per ha),4555.0
214,71.98,27.55,0.46,217.0,445.2,410.99,121.1,722.175,RICE YIELD (Kg per ha),2190.0
215,65.97,33.43,0.6,217.0,445.2,406.24,120.48,722.175,RICE YIELD (Kg per ha),1920.0
216,44.63,43.21,12.17,194.0,383.1,459.57,181.33,1193.9250000000002,RICE YIELD (Kg per ha),0.0
217,45.24,47.07,7.69,194.0,383.1,455.73,182.63,1193.9250000000002,RICE YIELD (Kg per ha),0.0
218,48.37,44.08,7.55,194.0,383.1,462.5,184.42,1016.0,RICE YIELD (Kg per ha),0.0
219,59.05,34.55,6.41,194.0,383.1,466.63,185.65,1619.1,RICE YIELD (Kg per ha),0.0
220,54.76,38.17,7.08,194.0,383.1,466.72,185.85,811.2,RICE YIELD (Kg per ha),0.0
221,53.2,38.41,8.38,194.0,383.1,468.13,186.94,1329.4,RICE YIELD (Kg per ha),0.0
222,57.83,32.48,9.7,194.0,383.1,470.12,184.78,1193.9250000000002,RICE YIELD (Kg per ha),0.0
223,60.28,31.16,8.56,194.0,383.1,493.22,196.79,1193.9250000000002,RICE YIELD (Kg per ha),2266.67
224,52.8,39.65,7.55,194.0,486.01,509.43,152.37,1055.475,RICE YIELD (Kg per ha),764.71
225,56.47,38.87,4.66,194.0,486.01,539.31,160.97,1055.475,RICE YIELD (Kg per ha),947.37
226,60.19,35.21,4.61,194.0,486.01,554.65,164.66,1018.4,RICE YIELD (Kg per ha),1139.71
227,65.7,30.28,4.02,194.0,486.01,577.48,171.1,1353.0,RICE YIELD (Kg per ha),1201.55
228,65.9,28.38,5.72,194.0,486.01,550.87,163.84,614.3,RICE YIELD (Kg per ha),0.0
229,59.24,33.68,7.09,194.0,486.01,538.18,160.2,1236.2,RICE YIELD (Kg per ha),0.0
230,62.36,31.09,6.55,194.0,486.01,557.24,165.66,1055.475,RICE YIELD (Kg per ha),660.0
231,61.75,29.86,8.39,194.0,486.01,581.36,172.15,1055.475,RICE YIELD (Kg per ha),0.0
232,38.81,53.71,7.48,194.0,609.87,874.05,176.03,1109.4499999999998,RICE YIELD (Kg per ha),0.0
233,41.75,53.65,4.61,194.0,609.87,886.57,178.33,1109.4499999999998,RICE YIELD (Kg per ha),0.0
234,49.68,46.96,3.36,194.0,609.87,925.17,185.48,994.8,RICE YIELD (Kg per ha),0.0
235,56.34,38.95,4.71,194.0,609.87,938.0,187.73,1272.9,RICE YIELD (Kg per ha),0.0
236,55.83,39.74,4.43,194.0,609.87,882.07,176.07,648.9,RICE YIELD (Kg per ha),0.0
237,51.6,41.91,6.49,194.0,609.87,905.8,181.23,1521.2,RICE YIELD (Kg per ha),0.0
238,57.71,35.56,6.73,194.0,609.87,924.17,184.16,1109.4499999999998,RICE YIELD (Kg per ha),0.0
239,53.5,39.41,7.09,194.0,609.87,961.57,190.35,1109.4499999999998,RICE YIELD (Kg per ha),1900.0
240,50.86,38.89,10.25,190.0,945.37,848.03,154.45,929.5,RICE YIELD (Kg per ha),0.0
241,51.56,42.78,5.66,190.0,945.37,892.0,163.55,929.5,RICE YIELD (Kg per ha),0.0
242,58.12,37.18,4.7,190.0,945.37,903.75,167.21,904.4,RICE YIELD (Kg per ha),500.0
243,62.92,32.23,4.85,190.0,945.37,937.07,173.39,1110.6,RICE YIELD (Kg per ha),250.0
244,61.98,31.32,6.7,190.0,945.37,929.05,171.77,802.3,RICE YIELD (Kg per ha),0.0
245,61.3,29.94,8.75,190.0,945.37,907.8,168.03,900.7,RICE YIELD (Kg per ha),0.0
246,61.57,28.71,9.71,190.0,945.36,932.1,172.59,929.5,RICE YIELD (Kg per ha),0.0
247,61.54,29.14,9.32,190.0,945.36,956.85,177.37,929.5,RICE YIELD (Kg per ha),2200.0
